name,uuid,processsor,secrets
red-green,00d66020-b34e-429d-9fd3-696bc15cfce2,default,3
redstone-key,01949106-2ddc-4601-9b4c-e934f5d373a6,default,3
golden-oasis,02b94b9a-8990-446a-993a-9b59de987b16,default,1
miniboss-5,0405eaf0-2f6a-466c-9b3b-d336980f7cbf,default,0
flags,05ba6123-3468-4ec3-8e32-0553a8e5d3b2,default,7
dino-dig-site,067df8a7-9d28-4fdd-a538-c6d38f126cd2,default,4
lots-of-floors,07ce87bb-a49a-412b-a8f7-c9dde9f884de,default,3
stairs,0877607a-b8a2-433a-b893-f4de7c83378a,default,4
doors,09c3072e-3099-4019-a577-7ddc17a9e29d,default,5
bloodroom-2,0b80b3d2-5b25-4d82-8bd4-429184224c60,bossroom,0
puzzle-creeper,11982f7f-703e-4d98-9d27-4e07ba3fef71,puzzle_creeper_solver,0
mines,12080b02-4ccc-49ce-9eaf-e7d8946f3984,default,10
big-red-flag,15083814-fb7b-4791-b5d7-0810dd396b01,default,2
admin,1ae1d65c-2c72-4ed6-afab-84d0de759e1e,default,0
trinity,1bea0030-0b60-4223-bf57-5f90aaca8e69,default,4
tombstone,1d98546f-4680-486b-9091-8668c72b979f,default,2
pedestal,1df3a849-2a5b-451d-8bd7-971eb608363c,default,5
waterfall,1e8d4327-7465-4bff-a8c7-505528273985,default,2
quad-lava,23d6e1f6-efa3-476b-b452-ad5cf6a37be9,default,2
grand-library,250624ee-bb7a-4330-b698-a78f5e44ba99,default,4
chambers,25956a46-7094-4a9e-b5d9-c9f8291ffef4,default,5
mossy,296fd7ea-4ac5-46e5-beb9-5d27019e3796,default,4
sloth,2b5cb4ef-00a3-4aae-baec-d2094a158d60,default,1
dueces,2ccc73b5-883f-4436-9b8f-1a32123b2cb9,default,3
castle,2d11a2bf-d1c5-402d-a201-57eb33c4f25d,default,6
wizard,2d9705f3-2e69-4035-905d-6b11d6ee270b,default,4
tomioka,2f7927cc-4ce0-4f02-a81a-88d5709248e8,default,0
entrance-edge,3042017d-90a6-4fcf-af1f-820f7bb8292a,default,0
hallway,31749ba0-8b9d-4129-b3c9-ee78d9fdb9d7,default,3
double-diamond,31766264-1004-492f-9d65-cb5deaff82f0,default,3
chains,3406a386-c56d-47de-a0ad-aa0ab74d2abb,default,2
crypt,340c5665-e59b-42c1-bf84-8fc03d38981f,default,5
cages,34639497-d991-4137-83c4-db0a25542b71,default,2
long-hall,35fb741d-b0b1-471a-a5b6-8224f99a1133,default,3
cell,388e95fc-4775-4747-8473-5329fbb8e5cc,default,1
steps,38affd31-fc6f-44cd-a41e-ae7d0589ba0d,default,1
overgrown-chains,3acb9949-d252-4f16-9983-a1fcdc38a6cf,default,2
puzzle-icefill2,3afad77e-48e0-4b67-98c2-72ccc1ee13c1,puzzle_icefill,0
museum,4067578d-c259-4f89-8b88-a891b2decbbf,default,5
perch,40fb4b64-18d7-4301-b899-0da7b1d466c1,default,2
rail-track,41086d97-5e36-41a5-88ff-d3fb296791ce,default,9
gravel,42029218-9142-4286-b184-e17b3734886f,default,6
archway,43c74bd0-77f6-4a2b-8edb-c227a72abf0f,default,3
cage,44d9b135-d2ca-4350-969e-6e9c34af2fe6,default,1
scaffolding,4538898f-8e79-4d53-aae6-08e4df6abb61,default,2
crypts-thing,4b58076d-76e8-4499-8a75-b38104a53a50,default,1
cobble-wall-pillar,4b5f4983-0453-4402-821c-804f092d1ecd,default,2
logs,4e8087d2-0c64-4558-b4ff-4be94275a320,default,4
dome,4ed557b1-553c-4ecc-b3c1-88dd9da6d33c,default,2
slabs,4f8be93c-f3e7-47ca-9e0d-87261f5fc386,default,2
red-blue,4ffce449-eab8-470b-bc8c-d30507248fc2,default,4
puzzle-tictactoe,5000be9d-3081-4a5e-8563-dd826705663a,puzzle_tictactoe_solver,1
banners,54008e69-d31e-4ed2-9ad0-870a3ad5ee1a,default,1
basement,54aaf168-7039-48dc-99a3-8d1f02d79097,default,1
lava-tomb,570ae82b-2051-496a-a731-af8d11bf1565,default,3
balcony,5aef2a82-42a3-495a-9e72-63a9b611e1cb,default,4
melon,5b6968ce-4a5b-4a48-8cb3-423ff9a7788d,default,7
bloodroom-1,5f525fd8-afe8-4390-8fac-3d2cb6019fe7,bossroom,0
black-flag,63634341-8ef3-4197-aafa-17f5875dd307,default,3
puzzle-bombdefuse,6367a338-dd48-4c30-9e03-7ff6b5c7a936,puzzle_bombdefuse,0
drop,65d8264d-f47c-4306-b89f-46e28b117511,default,2
grass-ruin,6b0dfb3e-c86c-41d1-8526-a172027dbb8d,default,3
painting,6b7256ae-8673-4c2f-825f-6cd727801ea9,default,2
slime,6c074b40-4aa9-4271-9ea7-936823fa5415,default,5
quartz-knight,6dcddc04-c094-4b9b-8c05-b101e8f3dd27,default,7
hall,6fac9602-c596-458f-9750-9b331e2cb845,default,0
market,70a1451a-5430-40bd-b20b-13245aac910a,default,5
